lat,lng
20.9694843292237,104.371505737305
20.9679279327393,104.374443054199
20.9629058837891,104.37686920166
20.9618988037109,104.378044128418
20.9521656036376,104.391677856445
20.9528179168702,104.394584655762
20.9498519897461,104.396392822266
20.9492893218995,104.397911071777
20.9450473785402,104.395980834961
20.9450874328614,104.394744873047
20.9422397613525,104.396339416504
20.9427661895753,104.404861450195
20.9412612915039,104.408332824707
20.9386978149415,104.411712646484
20.9370918273927,104.41219329834
20.9323043823242,104.417091369629
20.9308795928956,104.420700073242
20.9365272521974,104.424217224121
20.9380149841309,104.426040649414
20.9385471343995,104.431159973145
20.9408798217773,104.43431854248
20.9408950805664,104.436325073242
20.9394283294679,104.440589904785
20.9371891021729,104.444023132324
20.9350147247314,104.449913024902
20.9334907531739,104.451011657715
20.9302272796631,104.451080322266
20.9295520782471,104.450149536133
20.9300994873047,104.448501586914
20.9277992248535,104.441932678223
20.91872215271,104.436325073242
20.9110889434815,104.441444396973
20.9100284576416,104.443298339844
20.9075145721436,104.445114135742
20.9040412902833,104.443565368652
20.9009952545167,104.445777893066
20.8969783782959,104.446441650391
20.888828277588,104.442268371582
20.8851623535156,104.442481994629
20.8830165863037,104.441200256348
20.8801021575929,104.442115783691
20.8788013458253,104.441123962402
20.8784179687501,104.438209533691
20.8770046234131,104.436538696289
20.8775882720947,104.435531616211
20.8789710998535,104.433212280273
20.8789386749268,104.431579589844
20.8748416900635,104.424407958984
20.8761081695557,104.422256469727
20.8794212341309,104.421821594238
20.8816947937012,104.418823242187
20.8757991790771,104.413803100586
20.8748035430909,104.410514831543
20.8760490417482,104.410385131836
20.8770637512206,104.408882141113
20.8762607574463,104.398468017578
20.8784370422363,104.395965576172
20.880428314209,104.394737243652
20.8830318450928,104.394271850586
20.8838672637941,104.390411376953
20.8849983215333,104.38941192627
20.8841590881348,104.385765075684
20.8816261291505,104.385711669922
20.8819541931153,104.383018493652
20.8848953247071,104.381332397461
20.8888969421387,104.377182006836
20.8911705017089,104.373229980469
20.8932075500489,104.373512268066
20.8967208862305,104.372032165527
20.8990688323975,104.374420166016
20.8990402221681,104.376022338867
20.8998107910157,104.377029418945
20.9015979766847,104.376083374024
20.9048290252686,104.372611999512
20.90256690979,104.365280151367
20.9001140594483,104.36247253418
20.9001026153564,104.36107635498
20.89874458313,104.359298706055
20.8984279632569,104.354309082031
20.8962478637695,104.353446960449
20.8949222564698,104.351028442383
20.8935623168945,104.350944519043
20.8932075500489,104.343872070312
20.891139984131,104.340553283691
20.8866329193116,104.336166381836
20.8851127624512,104.330795288086
20.8893833160402,104.328224182129
20.8933811187745,104.322776794434
20.8940200805665,104.321006774902
20.8945598602295,104.320465087891
20.8955726623535,104.319381713867
20.8978652954102,104.319213867188
20.9010124206544,104.314025878906
20.9016418457032,104.31298828125
20.9021110534668,104.31307220459
20.9044075012208,104.3134765625
20.9068355560304,104.308464050293
20.9079189300538,104.303924560547
20.9096622467041,104.304161071777
20.9104251861572,104.302970886231
20.9095096588135,104.297317504883
20.9128742218017,104.294151306152
20.9137363433838,104.293342590332
20.9148635864259,104.294303894043
20.9160118103027,104.295280456543
20.9170589447022,104.29517364502
20.9182510375977,104.296379089355
20.9177627563478,104.297927856445
20.916582107544,104.298782348633
20.9160537719728,104.301139831543
20.9177169799805,104.303344726563
20.9217987060547,104.305618286133
20.9250106811525,104.306602478027
20.9266395568849,104.305786132812
20.9367980957032,104.305870056152
20.9371452331542,104.306358337402
20.9370231628419,104.309982299805
20.9381217956543,104.311569213867
20.9379596710206,104.313194274902
20.9349708557129,104.31413269043
20.933708190918,104.318382263184
20.9322166442871,104.319541931152
20.932680130005,104.320877075195
20.9319324493409,104.322601318359
20.9266796112062,104.324676513672
20.9246444702148,104.330375671387
20.9246444702148,104.333511352539
20.9280643463135,104.335914611816
20.9292545318605,104.334312438965
20.9334754943849,104.335121154785
20.9360446929932,104.333961486816
20.9447174072266,104.334922790527
20.9459075927735,104.341949462891
20.9555549621583,104.349594116211
20.9598922729493,104.356826782227
20.9621734619142,104.358139038086
20.9694843292237,104.371505737305